lake	length	weight
4	130	25
12	130	24
15	130	21
15	130	25
15	130	25
15	130	28
26	130	25
26	130	25
26	130	25
26	130	31
31	130	27
31	130	27
31	130	29
31	130	30
31	130	30
31	130	30
31	130	31
31	130	34
47	130	24
50	130	24
50	130	27
50	130	32
50	130	41
51	130	24
51	130	26
51	130	32
57	130	55
58	130	23
58	130	23
58	130	23
58	130	23
58	130	23
58	130	23
58	130	23
58	130	23
58	130	23
58	130	23
69	130	24
72	130	24
72	130	28
72	130	29
77	130	28
82	130	24
2	131	30
15	131	28
26	131	23
26	131	27
26	131	28
27	131	23
27	131	28
31	131	27
31	131	32
31	131	32
31	131	34
39	131	26
40	131	40
43	131	26
43	131	28
70	131	31
71	131	22
2	132	29
11	132	31
14	132	25
15	132	25
15	132	28
17	132	28
17	132	28
24	132	26
26	132	23
26	132	23
26	132	24
26	132	26
26	132	29
26	132	30
26	132	30
27	132	24
31	132	32
31	132	32
31	132	33
40	132	22
40	132	22
40	132	40
43	132	30
43	132	33
48	132	22
49	132	27
50	132	23
50	132	23
50	132	24
50	132	27
50	132	32
50	132	41
51	132	26
51	132	26
51	132	28
51	132	28
51	132	32
57	132	25
58	132	23
58	132	23
58	132	23
58	132	23
58	132	23
58	132	36
58	132	36
58	132	36
58	132	36
58	132	36
58	132	36
60	132	41
63	132	29
68	132	37
70	132	33
70	132	39
78	132	32
81	132	24
2	133	30
12	133	32
15	133	28
22	133	31
26	133	23
26	133	24
26	133	24
26	133	26
27	133	25
31	133	29
38	133	31
40	133	42
43	133	36
43	133	38
43	133	50
50	133	30
67	133	34
72	133	32
82	133	30
84	133	28
2	134	34
15	134	25
15	134	28
22	134	35
26	134	25
26	134	27
26	134	28
26	134	28
26	134	29
26	134	30
26	134	35
27	134	26
27	134	34
31	134	30
31	134	34
31	134	38
40	134	28
40	134	28
43	134	38
43	134	39
67	134	26
68	134	25
68	134	31
71	134	32
3	135	30
12	135	38
12	135	42
14	135	25
14	135	28
14	135	28
14	135	28
17	135	28
22	135	35
24	135	29
26	135	28
26	135	28
26	135	29
26	135	31
26	135	32
26	135	36
26	135	36
27	135	24
31	135	38
40	135	24
43	135	30
43	135	34
43	135	34
50	135	24
50	135	28
50	135	28
50	135	32
50	135	32
51	135	24
51	135	26
51	135	27
51	135	28
51	135	28
51	135	28
51	135	32
57	135	28
57	135	30
57	135	35
57	135	38
58	135	36
58	135	36
58	135	41
58	135	45
60	135	36
68	135	34
71	135	34
71	135	35
71	135	36
72	135	28
72	135	32
82	135	28
26	136	27
26	136	27
26	136	32
26	136	32
26	136	34
26	136	34
27	136	26
27	136	28
27	136	28
27	136	29
31	136	35
31	136	38
40	136	36
43	136	30
43	136	30
43	136	39
48	136	27
50	136	24
70	136	36
7	137	32
7	137	39
12	137	33
12	137	38
12	137	38
13	137	28
26	137	26
26	137	28
26	137	28
26	137	29
26	137	29
26	137	29
26	137	30
27	137	26
27	137	30
31	137	38
33	137	36
40	137	38
43	137	28
49	137	27
50	137	28
50	137	32
50	137	34
50	137	45
50	137	50
51	137	27
51	137	27
51	137	28
51	137	28
51	137	30
51	137	30
51	137	32
51	137	32
51	137	32
51	137	36
52	137	26
58	137	36
58	137	36
58	137	36
58	137	45
58	137	45
58	137	45
60	137	45
12	138	33
15	138	25
26	138	26
26	138	27
26	138	29
26	138	30
26	138	30
26	138	31
26	138	32
26	138	32
26	138	34
26	138	38
39	138	27
39	138	38
40	138	38
40	138	44
43	138	35
43	138	38
43	138	50
50	138	36
7	139	29
7	139	35
12	139	30
12	139	46
26	139	28
26	139	28
26	139	31
26	139	35
27	139	26
27	139	28
27	139	31
27	139	32
43	139	36
43	139	38
43	139	40
43	139	40
43	139	40
43	139	40
50	139	30
50	139	34
7	140	34
12	140	32
12	140	32
12	140	40
12	140	46
12	140	50
14	140	32
14	140	35
14	140	39
22	140	32
26	140	26
26	140	26
26	140	27
26	140	31
26	140	32
26	140	35
26	140	35
26	140	35
26	140	39
27	140	32
27	140	34
31	140	40
33	140	35
38	140	30
39	140	30
39	140	38
39	140	49
40	140	38
40	140	38
40	140	38
43	140	36
43	140	41
44	140	34
44	140	35
50	140	30
50	140	32
50	140	36
51	140	27
51	140	30
51	140	30
51	140	30
51	140	32
51	140	32
51	140	32
57	140	38
58	140	32
58	140	36
58	140	36
58	140	36
58	140	41
58	140	45
58	140	45
59	140	36
60	140	45
63	140	30
68	140	28
68	140	34
70	140	36
72	140	40
74	140	30
11	141	30
12	141	37
12	141	38
12	141	63
22	141	30
26	141	28
26	141	31
26	141	32
26	141	35
26	141	40
27	141	28
27	141	34
31	141	42
40	141	46
43	141	34
44	141	36
70	141	42
70	141	42
4	142	30
7	142	40
11	142	33
14	142	35
14	142	35
26	142	29
26	142	30
26	142	30
26	142	35
27	142	29
27	142	33
27	142	36
27	142	37
31	142	36
31	142	39
31	142	43
39	142	34
39	142	53
40	142	44
40	142	44
43	142	44
43	142	50
43	142	52
43	142	52
43	142	54
46	142	34
49	142	36
49	142	41
50	142	32
50	142	41
51	142	30
51	142	34
51	142	36
51	142	36
51	142	36
51	142	36
51	142	38
51	142	40
57	142	40
57	142	50
57	142	50
58	142	32
58	142	36
58	142	36
58	142	36
58	142	45
58	142	45
58	142	45
58	142	45
58	142	45
58	142	45
58	142	45
60	142	45
60	142	45
61	142	29
62	142	33
70	142	32
72	142	33
7	143	32
7	143	33
12	143	40
12	143	40
12	143	46
12	143	50
25	143	40
26	143	28
26	143	32
26	143	32
26	143	32
26	143	35
26	143	37
26	143	40
26	143	42
27	143	28
27	143	34
27	143	35
31	143	39
39	143	35
40	143	36
43	143	38
43	143	38
43	143	40
43	143	41
43	143	44
44	143	33
50	143	36
50	143	36
68	143	33
68	143	45
72	143	38
12	144	45
12	144	45
26	144	32
26	144	35
26	144	38
26	144	44
