State,length,weight,lake
GA,248,146,2
GA,255,149,2
GA,255,155,2
GA,280,200,2
GA,293,231,2
GA,310,276,2
GA,345,367,2
GA,347,348,2
GA,357,409,2
GA,365,424,2
GA,374,487,2
GA,376,470,2
GA,390,592,2
GA,392,784,2
GA,394,480,2
GA,395,581,2
GA,399,500,2
GA,400,624,2
GA,402,668,2
GA,407,573,2
GA,407,574,2
GA,410,598,2
GA,410,680,2
GA,411,633,2
GA,413,665,2
GA,414,661,2
GA,415,650,2
GA,415,664,2
GA,415,668,2
GA,418,582,2
GA,420,625,2
GA,425,720,2
GA,428,620,2
GA,430,788,2
GA,431,742,2
GA,431,763,2
GA,432,861,2
GA,433,705,2
GA,433,832,2
GA,434,780,2
GA,434,796,2
GA,435,812,2
GA,435,827,2
GA,435,835,2
GA,435,900,2
GA,437,764,2
GA,437,822,2
GA,444,625,2
GA,444,756,2
GA,444,840,2
GA,445,904,2
GA,445,966,2
GA,446,878,2
GA,446,954,2
GA,447,903,2
GA,448,913,2
GA,449,956,2
GA,450,793,2
GA,450,793,2
GA,450,840,2
GA,450,859,2
GA,452,846,2
GA,453,867,2
GA,453,928,2
GA,454,763,2
GA,454,927,2
GA,455,1061,2
GA,456,928,2
GA,457,979,2
GA,460,1064,2
GA,465,942,2
GA,465,959,2
GA,465,970,2
GA,467,1034,2
GA,470,810,2
GA,470,1007,2
GA,470,1013,2
GA,470,1041,2
GA,470,1300,2
GA,472,1107,2
GA,472,1121,2
GA,474,1067,2
GA,475,935,2
GA,475,948,2
GA,475,1000,2
GA,475,1025,2
GA,475,1049,2
GA,475,1117,2
GA,476,962,2
GA,476,979,2
GA,476,1020,2
GA,477,985,2
GA,479,1050,2
GA,480,928,2
GA,480,928,2
GA,480,1007,2
GA,480,1007,2
GA,480,1028,2
GA,480,1106,2
GA,480,1127,2
GA,481,1100,2
GA,482,766,2
GA,483,900,2
GA,484,1050,2
GA,485,1185,2
GA,485,1237,2
GA,486,1289,2
GA,487,1092,2
GA,487,1253,2
GA,488,1064,2
GA,489,1100,2
GA,490,1088,2
GA,490,1154,2
GA,490,1154,2
GA,491,1152,2
GA,491,1200,2
GA,491,1200,2
GA,491,1255,2
GA,492,1300,2
GA,492,1461,2
GA,495,1198,2
GA,495,1201,2
GA,495,1215,2
GA,495,1269,2
GA,496,1067,2
GA,498,964,2
GA,498,1138,2
GA,500,1315,2
GA,500,1412,2
GA,502,1363,2
GA,502,1441,2
GA,504,1239,2
GA,504,1277,2
GA,505,1177,2
GA,505,1386,2
GA,505,1495,2
GA,507,1301,2
GA,507,1352,2
GA,507,1581,2
GA,508,1273,2
GA,508,1273,2
GA,508,1313,2
GA,508,1348,2
GA,510,1142,2
GA,510,1145,2
GA,510,1265,2
GA,510,1297,2
GA,510,1363,2
GA,510,1380,2
GA,510,1442,2
GA,510,1493,2
GA,510,1522,2
GA,510,1536,2
GA,512,1177,2
GA,512,1444,2
GA,512,1446,2
GA,513,1297,2
GA,513,1297,2
GA,514,1304,2
GA,514,1414,2
GA,514,1489,2
GA,515,1290,2
GA,515,1455,2
GA,515,1565,2
GA,517,1312,2
GA,517,1350,2
GA,517,1481,2
GA,518,1370,2
GA,518,1411,2
GA,520,1180,2
GA,520,1647,2
GA,521,1452,2
GA,521,1575,2
GA,521,1765,2
GA,522,1212,2
GA,522,1433,2
GA,522,1433,2
GA,522,1492,2
GA,523,1392,2
GA,523,1412,2
GA,523,1827,2
GA,524,1310,2
GA,524,1310,2
GA,524,1390,2
GA,525,1444,2
GA,527,1359,2
GA,527,1359,2
GA,527,1727,2
GA,528,1529,2
GA,528,1529,2
GA,528,1823,2
GA,529,1721,2
GA,530,1635,2
GA,530,1640,2
GA,530,1904,2
GA,530,1950,2
GA,532,1300,2
GA,532,1688,2
GA,534,1961,2
GA,535,1550,2
GA,535,1750,2
GA,536,1630,2
GA,536,1820,2
GA,537,1459,2
GA,537,1538,2
GA,537,1538,2
GA,537,1647,2
GA,537,1703,2
GA,540,1350,2
GA,540,1550,2
GA,540,1675,2
GA,541,1777,2
GA,544,1600,2
GA,545,1630,2
GA,545,1657,2
GA,545,1722,2
GA,545,1771,2
GA,546,1970,2
GA,547,1818,2
GA,547,1818,2
GA,548,1715,2
GA,550,1593,2
GA,553,1888,2
GA,553,1888,2
GA,554,1630,2
GA,554,1700,2
GA,555,1594,2
GA,555,1789,2
GA,555,1789,2
GA,555,1805,2
GA,555,1824,2
GA,555,1824,2
GA,557,1928,2
GA,558,2052,2
GA,560,1854,2
GA,560,2038,2
GA,561,1733,2
GA,563,1698,2
GA,563,1698,2
GA,563,2139,2
GA,564,1925,2
GA,564,2008,2
GA,565,1922,2
GA,569,1820,2
GA,569,1900,2
GA,570,1857,2
GA,570,1925,2
GA,575,1815,2
GA,575,2250,2
GA,576,2065,2
GA,576,2065,2
GA,580,1946,2
GA,580,2177,2
GA,580,2335,2
GA,582,2055,2
GA,585,1870,2
GA,585,1915,2
GA,585,2136,2
GA,585,2136,2
GA,585,2333,2
GA,585,2364,2
GA,586,2239,2
GA,588,2285,2
GA,589,1930,2
GA,590,2232,2
GA,592,2034,2
GA,594,2077,2
GA,595,2100,2
GA,595,2367,2
GA,596,2186,2
GA,596,2452,2
GA,598,2374,2
GA,598,2414,2
GA,598,2414,2
GA,600,2100,2
GA,602,2450,2
GA,610,2300,2
GA,612,2541,2
GA,613,2490,2
GA,613,2490,2
GA,614,2092,2
