State	length	weight	lake
GA	170	40	1
GA	175	37	1
GA	175	47	1
GA	180	36	1
GA	180	42	1
GA	183	40	1
GA	183	49	1
GA	185	52	1
GA	185	59	1
GA	188	52	1
GA	190	57	1
GA	190	61	1
GA	192	49	1
GA	193	52	1
GA	193	54	1
GA	195	56	1
GA	195	58	1
GA	195	59	1
GA	195	62	1
GA	195	65	1
GA	196	48	1
GA	196	60	1
GA	196	61	1
GA	197	68	1
GA	198	66	1
GA	199	63	1
GA	199	64	1
GA	200	56	1
GA	200	63	1
GA	201	65	1
GA	202	58	1
GA	202	66	1
GA	202	68	1
GA	205	62	1
GA	205	63	1
GA	205	65	1
GA	205	68	1
GA	205	80	1
GA	206	66	1
GA	206	73	1
GA	207	57	1
GA	207	62	1
GA	207	66	1
GA	208	64	1
GA	208	65	1
GA	208	68	1
GA	209	65	1
GA	210	63	1
GA	210	63	1
GA	210	67	1
GA	210	74	1
GA	210	78	1
GA	211	64	1
GA	211	72	1
GA	211	74	1
GA	211	78	1
GA	212	59	1
GA	212	66	1
GA	212	68	1
GA	212	70	1
GA	212	72	1
GA	212	78	1
GA	213	62	1
GA	214	76	1
GA	215	58	1
GA	215	71	1
GA	215	73	1
GA	215	80	1
GA	215	83	1
GA	216	70	1
GA	216	74	1
GA	216	80	1
GA	216	82	1
GA	217	77	1
GA	217	80	1
GA	217	94	1
GA	218	58	1
GA	218	73	1
GA	218	82	1
GA	220	75	1
GA	220	80	1
GA	220	81	1
GA	220	84	1
GA	220	84	1
GA	220	85	1
GA	220	88	1
GA	220	88	1
GA	220	95	1
GA	221	80	1
GA	221	81	1
GA	221	82	1
GA	222	76	1
GA	222	78	1
GA	222	79	1
GA	222	89	1
GA	222	100	1
GA	223	76	1
GA	223	85	1
GA	224	82	1
GA	224	83	1
GA	224	93	1
GA	224	113	1
GA	225	79	1
GA	225	95	1
GA	226	88	1
GA	226	100	1
GA	227	80	1
GA	227	92	1
GA	228	90	1
GA	228	110	1
GA	229	102	1
GA	230	87	1
GA	230	92	1
GA	230	97	1
GA	230	100	1
GA	230	103	1
GA	231	94	1
GA	231	100	1
GA	232	97	1
GA	232	116	1
GA	233	96	1
GA	233	97	1
GA	233	107	1
GA	233	110	1
GA	234	98	1
GA	235	100	1
GA	235	108	1
GA	236	102	1
GA	236	104	1
GA	236	110	1
GA	236	120	1
GA	237	117	1
GA	240	102	1
GA	240	104	1
GA	240	134	1
GA	241	120	1
GA	241	122	1
GA	242	119	1
GA	243	110	1
GA	243	112	1
GA	243	120	1
GA	244	118	1
GA	245	110	1
GA	245	135	1
GA	245	140	1
GA	246	110	1
GA	246	120	1
GA	246	120	1
GA	246	126	1
GA	247	128	1
GA	248	126	1
GA	248	132	1
GA	250	120	1
GA	250	126	1
GA	250	136	1
GA	250	136	1
GA	252	130	1
GA	253	131	1
GA	254	140	1
GA	254	146	1
GA	255	124	1
GA	255	129	1
GA	255	138	1
GA	255	140	1
GA	256	133	1
GA	256	134	1
GA	256	136	1
GA	256	141	1
GA	257	128	1
GA	258	140	1
GA	259	155	1
GA	260	140	1
GA	260	142	1
GA	261	136	1
GA	261	136	1
GA	264	150	1
GA	265	149	1
GA	265	164	1
GA	266	150	1
GA	266	166	1
GA	267	149	1
GA	267	150	1
GA	267	160	1
GA	267	170	1
GA	268	180	1
GA	270	120	1
GA	270	142	1
GA	270	154	1
GA	271	158	1
GA	271	173	1
